"correlationLowerBound","correlationUpperBound","correlation","correlationPear","distance","upToAirQuality","valueToUse","samples","latitudeStart"
0.0367305128630405,0.0977272615003869,0.0673238755860202,0.0307575183271979,14000,14,"pm2_5",4219,36.6163024
0.0366859666690288,0.0854206873866613,0.0613718553911409,0.0156678048990231,20000,20,"pm2_5",6527,35.79115496
0.03645391559509,0.0850934580578519,0.0608372716904943,0.0195994049319071,20000,60,"aqi",6418,35.79115496
0.0357143990776684,0.0922703249094921,0.0626670133037226,0.0275386688524498,16000,56,"aqi",4817,36.6163024
0.035195925457972,0.084256250848072,0.0601384406626118,0.0188359735153668,20000,16,"pm2_5",6415,35.79115496
0.0346540443081548,0.111289336028593,0.0724462709345105,0.0356581612320372,12000,40,"aqi",2620,37.7583355
0.0345749837803799,0.0987546593913814,0.0662689457878326,0.0335634594864379,14000,40,"aqi",3549,36.6163024
0.0340562917968721,0.0961105372717605,0.0651336863203056,0.0347009083751874,16000,40,"aqi",4062,36.6163024
0.0340083725561712,0.111993570399048,0.0719681050529255,0.0313723722865506,12000,38,"aqi",2499,37.7583355
0.0338387857716506,0.083288067028228,0.0579043476803771,0.020819459280793,20000,58,"aqi",6373,35.79115496
0.0335278407442302,0.0968929886822121,0.0653083110251438,0.0258750900874563,14000,10,"pm2_5",3681,36.6163024
0.03340959028585,0.102873026139649,0.0689910108648231,0.0170642385964253,12000,50,"aqi",2974,37.7583355
0.0333824917873985,0.089337495685959,0.0608113524026595,0.0281356118581959,16000,14,"pm2_5",4796,36.6163024
0.0330396361719311,0.0941362059858066,0.0628935311155863,0.0214744139503946,14000,46,"aqi",3878,36.6163024
0.0327499111777462,0.0938056938012116,0.0628839099997382,0.031011013261481,16000,38,"aqi",3889,36.6163024
0.0324927430719696,0.092514920593404,0.0632784168827188,0.0266382858888113,16000,10,"pm2_5",4207,36.6163024
0.0324007607046409,0.102996060986711,0.069760417801797,0.0086949010122799,12000,48,"aqi",2919,37.7583355
0.0321135886853398,0.101485340035048,0.0665467729094854,0.0215828448119039,14000,34,"aqi",3086,36.6163024
0.0319417833716448,0.109934362664686,0.0710090705717842,0.0242426401424088,12000,10,"pm2_5",2716,37.7583355
0.03121076242639,0.104654990075942,0.0680753640940212,0.0159519244483736,12000,12,"pm2_5",2977,37.7583355
0.0308199588118348,0.090693975929418,0.0618814163314122,0.0296005259864601,14000,54,"aqi",4171,36.6163024
0.0304323340394139,0.0811864415023922,0.0560553946935039,0.0254793671168388,18000,56,"aqi",5759,35.79115496
0.0303319496508888,0.0886924689586997,0.0600117393857339,0.0226626163394213,16000,46,"aqi",4425,36.6163024
0.029678499871932,0.0978394860895772,0.0646846377809879,0.0231477349042594,14000,36,"aqi",3298,36.6163024
0.0295946950972438,0.10246313413528,0.0666296834539576,0.0288642802884222,14000,32,"aqi",2865,36.6163024
0.0290855860624723,0.102378819606254,0.0676551985189344,0.0184693309685474,12000,44,"aqi",2809,37.7583355
0.0289590296961199,0.176949918224409,0.101599033790548,0.0634068691779974,6000,10,"pm2_5",713,40.22787247
0.0289146029702881,0.152474229690029,0.0904050818648846,0.062069924639532,8000,52,"aqi",1104,40.22787247
0.0288163129377196,0.115125261289033,0.070769234207952,0.0331998294155037,14000,6,"pm2_5",2043,36.6163024
0.0288074323503306,0.079814689061859,0.053845881113015,0.0261603569856335,18000,14,"pm2_5",5735,35.79115496
0.0285175630872389,0.0867917004282955,0.057491807776523,0.0250161215153826,16000,44,"aqi",4331,36.6163024
0.0284800945962872,0.123938672432643,0.0782639380199246,0.0163504109554976,12000,26,"aqi",1570,37.7583355
0.0281644865642305,0.0845123566638134,0.0569951320919988,0.0350605621467058,18000,40,"aqi",4821,35.79115496
0.0281139182166198,0.0909832581713509,0.0596779128747025,0.0292562686320991,14000,52,"aqi",4073,36.6163024
0.0276734300150726,0.0904722776814851,0.0597288883395448,0.0252032625598309,14000,44,"aqi",3794,36.6163024
0.0276714839469382,0.0842956406489971,0.0561088128691149,0.0268330484733803,16000,54,"aqi",4748,36.6163024
0.027657069663197,0.0962899914688846,0.0622389608238157,0.0250298354556792,14000,8,"pm2_5",3040,36.6163024
0.0275718792344441,0.187176569589982,0.107641740964659,0.0741692621194427,6000,40,"aqi",680,40.22787247
0.0273119280187573,0.142082518178185,0.0789798743321346,0.030336283076741,8000,12,"pm2_5",1094,40.22787247
0.0269817617839435,0.0841872520947103,0.0551876054357952,0.0268319674241298,16000,52,"aqi",4644,36.6163024
0.0268545110953083,0.113391589958854,0.072676944405455,0.0286986916863815,10000,14,"pm2_5",2146,38.02080697
0.026774945655389,0.107783550458086,0.0681101723349014,0.0193324010379565,12000,34,"aqi",2262,37.7583355
0.0267541627571401,0.0890954658161233,0.0564916570602057,0.0204075362113101,14000,12,"pm2_5",4030,36.6163024
0.0265664266429042,0.1173140952805,0.0720955996443168,0.0356856092680665,14000,24,"aqi",1900,36.6163024
0.0264927060293881,0.0795483382115234,0.0533924860868569,0.02049243321635,18000,46,"aqi",5279,35.79115496
0.0264359057774854,0.0759880086874349,0.0515445649987429,0.0249192259269138,20000,56,"aqi",6303,35.79115496
0.026014991649605,0.0871296265222589,0.0562580379269231,0.0218850798975227,14000,50,"aqi",4025,36.6163024
0.0258948188079624,0.0871422065282503,0.0561300823071128,0.0155448190338249,14000,48,"aqi",3947,36.6163024
0.0258730093641929,0.0746371316271531,0.049948998939837,0.02590316126835,20000,14,"pm2_5",6275,35.79115496
0.0254238614320745,0.0885737694971698,0.0567910948326494,0.0218498561735552,16000,36,"aqi",3781,36.6163024
0.0252827203807626,0.0800269183457571,0.0523778760776943,0.0246813407299194,18000,10,"pm2_5",5002,35.79115496
0.0245921140105563,0.0810874373789586,0.0519368143892641,0.0208559563057141,16000,50,"aqi",4590,36.6163024
0.0245474664551967,0.109518807271853,0.0677196350525734,0.0268287148750445,14000,26,"aqi",2154,36.6163024
0.0244977022431781,0.0771870578900157,0.0520128545008856,0.0376045262410489,20000,40,"aqi",5282,35.79115496
0.0244604318574046,0.108562388960333,0.067731963224035,0.0342670367125503,10000,52,"aqi",2057,38.02080697
0.0241396446796727,0.108461353661734,0.0657362849070391,0.0220629792655348,12000,32,"aqi",2096,37.7583355
0.0240826817760268,0.0804354202179874,0.0523209845160259,0.0165380859433766,16000,48,"aqi",4501,36.6163024
0.0240047263078058,0.075440432652524,0.0499286151844575,0.0238149857954633,18000,54,"aqi",5676,35.79115496
0.0237154519874825,0.110928422092335,0.0669239479309637,0.0351470763328819,10000,54,"aqi",2116,38.02080697
0.0232541123010519,0.102723035840748,0.065113063604228,0.0226706364542908,12000,36,"aqi",2420,37.7583355
0.0231728307008004,0.0753850821997311,0.0492973388166624,0.0241590227615778,18000,52,"aqi",5548,35.79115496
