"LatCase","LongCase","LatAir","LongAir","distance"
46.67459924,-115.6622393,47.316577,-116.571281,99351.2113459573
46.71681782,-101.2822377,46.825425,-100.76821,41014.0457608936
46.80851182,-102.6576326,46.8943,-103.37853,55706.8151166157
46.81587887,-116.7113698,47.316577,-116.571281,56740.5921206733
46.85538891,-112.9359164,46.8505,-111.987164,72228.6294735227
46.86048047,-105.379384,46.411389,-105.812778,59971.7703754222
46.89289518,-96.48761922,46.933754,-96.85535,28330.7395563881
46.89988536,-88.68495385,46.0519,-89.654,120121.167164203
46.90022523,-117.5241763,47.316577,-116.571281,85792.3626505469
46.9291895,-122.8290656,47.1864,-122.4517,40482.4930391911
46.93201724,-97.2444719,46.933754,-96.85535,29579.7119131435
46.93479392,-95.67158144,46.851811,-95.846272,16184.2116448192
46.93579637,-98.06605978,46.933754,-96.85535,92028.2522756845
46.94022281,-103.8465421,46.8943,-103.37853,35951.5831079514
46.95043611,-94.32603968,47.38443,-94.60166,52622.7144281724
46.95925154,-104.2510927,46.8943,-103.37853,66727.9667147298
46.97830064,-99.77507857,46.825425,-100.76821,77429.353603812
46.97847375,-100.4645214,46.825425,-100.76821,28701.845856286
46.97962541,-98.95637318,46.825425,-100.76821,138866.642642554
46.98299757,-118.5601734,47.663962,-117.257654,124120.345780057
47.02366884,-103.3762965,46.8943,-103.37853,14402.2731642741
47.03728583,-113.9213508,46.842181,-114.021499,23014.1875533437
47.03892768,-122.1405958,47.1864,-122.4517,28722.8626446366
47.04581276,-110.2660688,47.048537,-109.455315,61498.2984639142
47.10778564,-94.91693868,47.38443,-94.60166,38936.2497431249
47.11530482,-101.3406158,47.185833,-101.428056,10269.4294560869
47.1182463,-108.2508876,47.048537,-109.455315,91625.2372809072
47.12521214,-120.679439,46.99364,-120.545,17845.541852803
47.12610041,-112.394698,46.8505,-111.987164,43576.689160232
47.14003705,-123.7820567,47.22634,-122.46256,100291.810227259
47.15283992,-115.0015239,47.012907,-114.224273,60941.2534632138
47.20753737,-119.4500749,46.99364,-120.545,86317.9916950373
47.21754179,-116.6586851,47.316577,-116.571281,12850.4098175155
47.26331584,-109.2245206,47.048537,-109.455315,29611.9106135732
47.26584855,-104.8944417,47.8679,-104.676944,68982.272297111
47.27545948,-107.0002351,46.411389,-105.812778,132008.287761611
47.30797024,-111.3467922,46.8505,-111.987164,70355.5978790741
47.31213126,-101.8318399,47.298611,-101.766944,5124.64529209676
47.32557075,-95.80921485,46.851811,-95.846272,52813.430324603
47.32628443,-96.45620947,46.933754,-96.85535,53133.1230266568
47.35007586,-123.1863685,47.592675,-122.627397,49984.430372188
47.35364087,-115.8916749,47.536389,-116.236667,32991.4481299281
47.35423935,-102.6160468,47.342423,-102.645864,2605.35244303484
47.45367788,-97.16323288,46.933754,-96.85535,62387.5547613623
47.45611548,-97.72728747,46.933754,-96.85535,87927.4350238378
47.4571084,-98.88279923,46.825425,-100.76821,159133.556606783
47.45785838,-98.23850925,46.933754,-96.85535,119788.889720219
47.49137892,-121.8346131,47.386111,-122.230278,32013.0248442046
47.51009045,-93.63092229,47.38443,-94.60166,74405.1828787532
47.57700669,-100.3426391,46.825425,-100.76821,89643.2010783283
47.57705241,-118.4194388,47.663962,-117.257654,87707.2379411208
47.57992111,-95.37790562,47.878159,-95.029172,42238.2116131117
47.58614526,-99.65904998,46.825425,-100.76821,119192.513840786
47.6048407,-92.46879855,47.523355,-92.536305,10392.0248189778
47.60766714,-101.3182418,47.940861,-101.571583,41652.8017378776
47.62113146,-117.4046494,47.663962,-117.257654,12011.7378572942
47.63197653,-88.41434263,47.972085,-89.69098,102690.078246207
